,Max,Avg,Min,Max.1,Avg.1,Min.1,Max.2,Avg.2,Min.2,Max.3,Avg.3,Min.3,Max.4,Avg.4,Min.4,Total,THISVI
2018-05-11,75,65.8,55,55,53.8,50,88,66.3,50,20,20,20,29.6,29.5,29.5,0.0,7.0
2018-05-12,75,68.0,61,55,47.9,41,82,50.5,31,23,23,23,29.6,29.6,29.6,0.0,8744514.0
2018-05-13,75,65.7,52,55,48.0,43,77,54.9,33,10,10,10,29.6,29.6,29.6,0.0,8067521.0
2018-05-14,84,70.1,55,59,54.9,43,94,61.4,23,17,17,17,29.7,29.6,29.6,0.0,9458356.0
2018-05-15,84,73.1,59,61,53.6,48,88,53.1,28,14,14,14,29.7,29.7,29.6,0.0,9155801.0
2018-05-16,81,71.6,59,61,56.3,50,94,62.9,34,13,13,13,29.7,29.6,29.6,0.0,10770155.0
2018-05-17,82,73.2,59,61,53.2,45,88,53.3,26,12,12,12,29.7,29.6,29.6,0.0,8449833.0
2018-05-18,84,74.8,63,59,53.0,48,68,47.8,30,12,12,12,29.6,29.6,29.6,0.0,9400324.0
2018-05-19,86,74.1,61,63,55.0,46,83,54.1,25,18,18,18,29.6,29.5,29.5,0.0,9367052.0
2018-05-20,79,70.3,61,63,58.8,55,94,68.4,47,21,21,21,29.6,29.6,29.6,0.0,
2018-05-21,77,72.2,63,59,55.4,50,83,56.3,46,26,26,26,29.6,29.6,29.6,0.0,
2018-05-22,77,71.5,64,59,54.3,48,68,54.8,43,22,22,22,29.7,29.7,29.6,0.0,413536.0
2018-05-23,77,69.7,59,61,55.8,52,88,61.8,50,20,20,20,29.7,29.7,29.6,0.0,11571519.0
2018-05-24,77,67.7,55,63,57.3,52,94,70.7,53,13,13,13,29.6,29.6,29.5,0.0,10024313.0
2018-05-25,84,74.7,64,57,54.3,50,73,50.4,33,23,23,23,29.6,29.5,29.5,0.0,10829856.0
2018-05-26,84,75.8,70,57,52.6,50,64,45.1,32,26,26,26,29.6,29.6,29.6,0.0,5050116.0
2018-05-27,79,74.0,68,59,56.1,54,68,54.4,44,24,24,24,29.7,29.7,29.6,0.0,9084526.0
2018-05-28,81,74.3,70,59,48.9,39,68,42.9,24,29,29,29,29.7,29.7,29.6,0.0,12396949.0
2018-05-29,82,75.1,70,50,45.4,43,46,34.9,28,31,31,31,29.7,29.6,29.6,0.0,9899136.0
2018-05-30,82,75.2,66,55,49.1,45,64,41.2,26,28,28,28,29.6,29.6,29.6,0.0,11286075.0
2018-05-31,81,74.3,66,52,44.8,34,60,36.4,23,24,24,24,29.6,29.6,29.6,0.0,11703165.0
2018-06-01,88,78.8,66,45,39.2,36,35,24.8,18,24,24,24,29.6,29.6,29.6,0.0,11791487.0
2018-06-02,86,77.7,66,57,48.1,41,52,35.4,28,21,21,21,29.6,29.6,29.6,0.0,10827091.0
2018-06-03,84,75.5,61,54,51.3,48,68,43.3,33,15,15,15,29.6,29.6,29.6,0.0,6532228.0
2018-06-04,88,76.3,61,57,52.5,48,72,45.9,29,12,12,12,29.6,29.5,29.4,0.0,11733297.0
2018-06-05,90,79.9,64,55,52.3,48,68,39.6,26,14,14,14,29.5,29.4,29.4,0.0,11942689.0
2018-06-06,91,81.4,70,63,52.8,43,73,39.4,18,15,15,15,29.6,29.5,29.5,0.0,15986117.0
2018-06-07,88,77.3,64,64,60.2,55,83,57.3,33,10,10,10,29.7,29.6,29.6,0.0,8851990.0
2018-06-08,90,77.8,63,59,56.5,54,77,50.6,31,14,14,14,29.7,29.7,29.6,0.0,12240106.0
2018-06-09,93,82.3,68,64,55.8,50,64,42.0,28,17,17,17,29.6,29.5,29.4,0.0,10491763.0
2018-06-10,86,77.5,66,66,56.8,48,88,51.0,33,13,13,13,29.4,29.4,29.4,0.0,
2018-06-11,88,78.6,68,64,53.9,45,88,46.0,25,28,28,28,29.5,29.4,29.4,0.0,10096820.0
2018-06-12,90,80.7,68,50,43.6,36,49,28.8,15,23,23,23,29.5,29.4,29.4,0.0,12995096.0
2018-06-13,91,79.7,63,57,49.5,45,59,36.1,23,12,12,12,29.4,29.3,29.3,0.0,7349137.0
2018-06-14,93,82.5,72,64,54.9,48,61,40.6,21,16,16,16,29.3,29.3,29.3,0.0,13527866.0
2018-06-15,86,78.0,72,63,56.2,46,69,48.4,25,22,22,22,29.4,29.3,29.3,0.0,10791631.0
2018-06-16,79,70.9,64,66,63.0,61,94,77.0,54,20,20,20,29.5,29.4,29.3,0.0,8326313.0
2018-06-17,77,69.7,63,66,63.0,61,94,79.7,57,9,9,9,29.5,29.5,29.4,0.0,
2018-06-18,82,73.1,63,66,61.6,59,94,69.4,48,10,10,10,29.5,29.5,29.5,0.0,5885749.0
2018-06-19,86,76.9,66,64,57.4,48,94,54.6,28,23,23,23,29.6,29.5,29.5,0.0,
2018-06-20,86,80.0,73,61,50.9,45,65,37.7,23,23,23,23,29.7,29.6,29.6,0.0,9861053.0
2018-06-21,86,78.5,68,57,53.4,50,68,42.4,30,20,20,20,29.6,29.6,29.6,0.0,12325914.0
2018-06-22,90,77.7,64,61,57.0,52,83,51.9,27,20,20,20,29.6,29.6,29.5,0.0,11609271.0
2018-06-23,86,77.5,68,66,59.8,55,88,56.2,35,15,15,15,29.6,29.5,29.5,0.0,10998873.0
2018-06-24,79,72.0,64,66,60.4,57,94,68.2,50,25,25,25,29.6,29.6,29.6,0.0,
2018-06-25,79,73.3,66,61,56.4,54,68,56.2,47,24,24,24,29.6,29.6,29.5,0.0,5792998.0
2018-06-26,75,72.0,68,64,60.6,57,78,67.5,57,18,18,18,29.5,29.4,29.4,0.0,9756697.0
2018-06-27,79,72.8,66,64,61.6,59,94,68.6,51,21,21,21,29.4,29.3,29.3,0.0,9062825.0
2018-06-28,81,74.4,66,63,55.6,52,88,53.4,37,16,16,16,29.4,29.3,29.3,0.0,
2018-06-29,86,76.8,64,55,51.6,46,73,42.6,27,21,21,21,29.4,29.4,29.3,0.0,5169589.0
2018-06-30,86,77.1,66,57,53.2,48,64,44.4,28,16,16,16,29.5,29.4,29.4,0.0,5454313.0
2018-07-01,88,79.3,68,63,60.0,55,78,52.8,38,12,12,12,29.6,29.5,29.5,0.0,5672121.0
2018-07-02,91,80.4,66,63,56.7,50,88,48.1,26,17,17,17,29.6,29.6,29.6,0.0,8437947.0
2018-07-03,95,82.0,68,59,55.7,52,68,43.0,24,15,15,15,29.6,29.6,29.6,0.0,10738476.0
2018-07-04,95,83.5,68,64,57.9,54,73,43.8,25,16,16,16,29.6,29.6,29.5,0.0,11307977.0
2018-07-05,91,82.6,70,63,60.5,57,73,48.4,34,20,20,20,29.6,29.5,29.5,0.0,10209221.0
2018-07-06,93,84.1,72,70,62.1,57,78,50.0,30,12,12,12,29.5,29.5,29.5,0.0,12822143.0
2018-07-07,91,82.2,70,68,60.3,55,83,50.3,29,20,20,20,29.5,29.4,29.4,0.0,7509028.0
2018-07-08,86,77.8,70,70,63.6,59,88,62.7,45,14,14,14,29.5,29.5,29.4,0.0,
2018-07-09,86,76.6,66,66,64.2,61,94,67.4,45,10,10,10,29.5,29.5,29.5,0.0,9735179.0
2018-07-10,82,76.7,70,68,65.0,63,88,68.5,54,12,12,12,29.6,29.5,29.5,0.0,11527495.0
2018-07-11,88,79.1,70,66,60.8,54,83,55.8,33,10,10,10,29.6,29.6,29.5,0.0,7574428.0
2018-07-12,90,79.8,66,64,60.0,54,83,53.6,33,23,23,23,29.6,29.6,29.6,0.0,10155075.0
2018-07-13,91,82.4,72,63,58.2,55,73,45.4,31,22,22,22,29.6,29.6,29.5,0.0,11516220.0
2018-07-14,90,81.4,72,64,61.4,57,69,51.0,38,22,22,22,29.6,29.5,29.5,0.0,8635425.0
2018-07-15,90,81.3,73,59,55.6,52,53,41.8,27,20,20,20,29.6,29.5,29.5,0.0,9788658.0
2018-07-16,93,81.8,66,59,55.3,48,73,42.7,23,12,12,12,29.6,29.5,29.5,0.0,9793921.0
2018-07-17,99,85.6,73,66,57.8,52,55,40.1,24,21,21,21,29.5,29.4,29.4,0.0,12211592.0
2018-07-18,91,84.8,77,66,57.8,46,65,41.7,24,20,20,20,29.4,29.4,29.3,0.0,9509724.0
2018-07-19,91,84.2,73,64,54.7,48,69,38.1,24,14,14,14,29.5,29.4,29.4,0.0,7710302.0
2018-07-20,90,82.0,73,66,59.5,55,69,47.5,35,14,14,14,29.5,29.5,29.5,0.0,7982812.0
2018-07-21,93,82.1,68,68,59.6,55,78,49.2,29,12,12,12,29.6,29.5,29.5,0.0,7908486.0
2018-07-22,100,85.3,68,70,59.0,48,73,44.3,21,18,18,18,29.6,29.5,29.4,0.0,9711817.0
2018-07-23,100,90.5,81,52,47.7,41,33,23.4,13,37,37,37,29.4,29.4,29.3,0.0,10577529.0
2018-07-24,82,78.4,72,66,62.4,52,78,59.2,35,16,16,16,29.4,29.3,29.3,0.0,5210576.0
2018-07-25,88,78.6,68,70,63.2,59,83,60.5,38,12,12,12,29.4,29.4,29.4,0.0,7129297.0
2018-07-26,86,76.8,70,68,64.5,59,88,67.4,43,13,13,13,29.5,29.4,29.4,0.0,7308395.0
2018-07-27,86,77.1,64,70,63.8,61,88,64.7,45,12,12,12,29.5,29.5,29.5,0.0,11434640.0
2018-07-28,86,78.6,68,70,65.9,63,88,66.0,45,13,13,13,29.5,29.5,29.5,0.0,10222415.0
2018-07-29,88,77.4,68,68,65.6,64,88,68.3,48,22,22,22,29.5,29.4,29.4,0.0,6468602.0
2018-07-30,90,81.7,73,66,64.0,63,73,56.1,40,18,18,18,29.5,29.4,29.4,0.0,11347562.0
2018-07-31,88,81.0,73,68,64.3,63,78,57.2,45,21,21,21,29.5,29.5,29.4,0.0,10721725.0
2018-08-01,90,81.5,72,68,65.4,63,88,60.3,43,17,17,17,29.6,29.5,29.5,0.0,11860493.0
2018-08-02,91,82.2,70,68,65.1,63,83,58.3,43,22,22,22,29.6,29.6,29.5,0.0,11219155.0
2018-08-03,90,84.2,79,66,58.0,52,61,42.2,29,30,30,30,29.6,29.5,29.5,0.0,9307000.0
2018-08-04,90,83.5,77,64,57.3,54,65,41.9,29,30,30,30,29.6,29.5,29.5,0.0,6154210.0
2018-08-05,88,82.8,77,59,55.8,52,51,40.2,31,26,26,26,29.6,29.6,29.5,0.0,
2018-08-06,91,84.6,77,54,50.5,45,44,31.4,22,23,23,23,29.6,29.6,29.6,0.0,10963590.0
2018-08-07,93,83.9,73,57,50.9,46,47,32.3,23,23,23,23,29.6,29.6,29.6,0.0,10691466.0
2018-08-08,91,84.0,72,61,53.9,48,50,35.9,26,25,25,25,29.6,29.6,29.6,0.0,10131030.0
2018-08-09,88,83.4,79,63,58.6,52,57,43.5,31,28,28,28,29.7,29.6,29.6,0.0,9661670.0
2018-08-10,88,81.6,77,63,59.7,55,54,47.3,40,31,31,31,29.7,29.7,29.6,0.0,4165790.0
2018-08-11,84,79.3,75,61,57.4,54,61,47.5,35,30,30,30,29.7,29.7,29.6,0.0,9263858.0
2018-08-12,84,78.7,73,61,54.6,45,61,44.2,30,28,28,28,29.7,29.6,29.6,0.0,5580167.0
2018-08-13,86,79.1,73,61,54.6,48,57,43.0,33,24,24,24,29.6,29.6,29.6,0.0,9076776.0
2018-08-14,88,79.1,72,63,55.4,50,57,44.5,29,24,24,24,29.6,29.5,29.5,0.0,9838303.0
2018-08-15,88,79.3,68,61,54.9,48,56,43.9,27,23,23,23,29.6,29.5,29.5,0.0,9596291.0
2018-08-16,90,79.4,66,63,55.4,50,68,45.5,26,16,16,16,29.6,29.5,29.5,0.0,8193796.0
2018-08-17,90,79.1,68,63,58.0,52,73,49.9,31,14,14,14,29.6,29.5,29.5,0.0,10539923.0
2018-08-18,93,83.1,70,61,54.4,46,69,39.4,24,25,25,25,29.6,29.5,29.5,0.0,9.0
2018-08-19,90,85.6,81,59,55.3,50,45,35.7,30,28,28,28,29.6,29.5,29.5,0.0,
2018-08-20,88,82.2,77,59,56.3,52,54,41.7,31,26,26,26,29.5,29.5,29.5,0.0,
2018-08-21,86,79.8,75,63,54.7,48,65,42.6,30,25,25,25,29.6,29.6,29.5,0.0,8707386.0
2018-08-22,88,80.1,75,63,55.8,50,57,43.8,31,26,26,26,29.6,29.6,29.6,0.0,8930687.0
2018-08-23,86,80.2,72,61,57.0,54,57,45.4,35,25,25,25,29.6,29.5,29.5,0.0,9727076.0
2018-08-24,86,79.7,73,64,60.2,54,69,51.3,39,22,22,22,29.5,29.5,29.5,0.0,10618499.0
2018-08-25,88,76.3,68,68,62.6,59,83,63.9,38,9,9,9,29.5,29.5,29.5,0.0,
2018-08-26,90,78.8,66,70,65.1,61,83,64.7,43,14,14,14,29.5,29.4,29.4,0.0,6618336.0
2018-08-27,90,79.0,72,72,64.2,59,83,60.9,40,21,21,21,29.4,29.4,29.4,0.0,6132518.0
2018-08-28,82,76.8,72,64,60.5,55,73,57.3,44,21,21,21,29.5,29.4,29.4,0.0,5464417.0
2018-08-29,90,82.4,75,61,56.6,50,61,42.3,27,24,24,24,29.6,29.5,29.5,0.0,7722676.0
2018-08-30,88,83.1,77,57,52.6,48,44,35.1,27,21,21,21,29.6,29.6,29.6,0.0,8580802.0
2018-08-31,91,82.9,73,57,53.1,48,47,36.0,28,24,24,24,29.6,29.6,29.6,0.0,
2018-09-01,91,83.0,73,54,51.6,46,50,34.1,26,23,23,23,29.6,29.6,29.6,0.0,
2018-09-02,95,84.7,73,55,48.6,45,39,29.1,19,23,23,23,29.6,29.6,29.6,0.0,9121156.0
2018-09-03,91,83.7,73,61,52.3,45,57,34.8,25,17,17,17,29.6,29.5,29.5,0.0,9302088.0
2018-09-04,90,80.6,70,66,59.3,52,78,51.4,27,13,13,13,29.5,29.5,29.4,0.0,12939906.0
2018-09-05,90,79.3,70,64,56.8,46,73,48.9,22,14,14,14,29.5,29.4,29.4,0.0,11460129.0
2018-09-06,86,75.8,63,63,58.8,54,78,57.3,35,12,12,12,29.5,29.5,29.5,0.0,7857970.0
2018-09-07,86,77.9,70,66,61.3,54,73,57.8,33,14,14,14,29.6,29.5,29.5,0.0,7770282.0
2018-09-08,90,74.3,68,64,62.4,55,83,68.0,35,20,20,20,29.6,29.6,29.5,0.0,
2018-09-09,86,76.4,68,64,60.9,57,83,60.7,37,20,20,20,29.7,29.7,29.6,0.0,
2018-09-10,90,75.2,63,63,55.5,46,88,53.9,27,22,22,22,29.8,29.7,29.7,0.0,
2018-09-11,86,73.7,61,61,55.2,50,88,54.8,29,15,15,15,29.8,29.8,29.7,0.0,
2018-09-12,84,74.0,61,59,53.7,50,77,50.4,33,25,25,25,29.8,29.7,29.7,0.0,
2018-09-13,82,74.0,66,61,57.1,54,73,56.4,42,23,23,23,29.7,29.6,29.6,0.0,
2018-09-14,82,72.2,59,63,57.2,54,82,60.9,39,9,9,9,29.7,29.7,29.6,0.0,
2018-09-15,84,74.0,61,59,55.8,50,88,55.9,32,12,12,12,29.7,29.7,29.7,0.0,
2018-09-16,86,75.2,61,63,56.5,50,82,54.4,32,16,16,16,29.8,29.7,29.7,0.0,
2018-09-17,82,77.3,72,61,57.3,52,57,50.1,42,25,25,25,29.8,29.8,29.7,0.0,
2018-09-18,81,75.0,72,59,53.4,50,60,47.7,34,30,30,30,29.8,29.8,29.7,0.0,
2018-09-19,79,73.9,70,57,53.0,48,64,48.7,34,28,28,28,29.8,29.8,29.7,0.0,
2018-09-20,81,74.4,70,57,53.0,48,64,48.6,34,26,26,26,29.7,29.7,29.7,0.0,
2018-09-21,79,74.0,68,59,55.0,50,60,52.0,44,22,22,22,29.7,29.7,29.7,0.0,
2018-09-22,82,71.4,59,63,55.0,48,73,57.5,42,16,16,16,29.7,29.7,29.7,0.0,
2018-09-23,86,72.3,59,59,55.0,50,94,58.5,29,17,17,17,29.8,29.7,29.7,0.0,
2018-09-24,88,73.1,54,66,54.3,45,83,55.3,29,16,16,16,29.7,29.6,29.6,0.0,
2018-09-25,75,68.4,64,63,53.3,43,83,59.4,45,35,35,35,29.9,29.7,29.6,0.0,
2018-09-26,68,64.3,63,45,41.8,39,49,43.8,37,48,48,48,29.9,29.9,29.8,0.0,
2018-09-27,66,62.6,61,54,48.2,43,72,59.2,48,40,40,40,29.8,29.8,29.8,0.0,
2018-09-28,66,63.6,61,57,54.6,52,82,72.5,64,32,32,32,29.7,29.7,29.6,0.0,
2018-09-29,70,65.9,63,64,59.1,55,88,79.1,68,24,24,24,29.6,29.5,29.4,0.0,11438.0
2018-09-30,68,63.7,61,63,57.9,54,94,81.7,72,17,17,17,29.6,29.4,29.3,0.0,103721.0
2018-10-01,73,66.3,61,61,57.5,52,88,74.0,56,14,14,14,29.6,29.6,29.5,0.0,4086643.0
2018-10-02,77,68.3,57,57,53.6,48,82,60.7,41,15,15,15,29.7,29.7,29.6,0.0,5764194.0
2018-10-03,79,68.3,61,68,60.6,55,94,78.0,47,12,12,12,29.8,29.8,29.7,0.0,7104456.0
2018-10-04,77,68.4,63,64,61.0,57,94,77.4,65,23,23,23,30.0,29.9,29.8,0.0,6872351.0
2018-10-05,72,67.9,64,59,47.5,39,78,49.5,31,23,23,23,30.0,30.0,29.9,0.0,118095.0
2018-10-06,72,66.1,63,54,49.3,46,64,55.6,43,24,24,24,30.0,29.9,29.8,0.0,
2018-10-07,73,64.9,57,57,52.4,48,94,64.9,47,16,16,16,29.8,29.7,29.7,0.0,
2018-10-08,73,63.8,54,57,54.3,52,94,72.7,50,18,18,18,29.7,29.7,29.7,0.0,11266143.0
2018-10-09,73,66.5,59,54,51.2,48,77,58.3,44,24,24,24,29.8,29.7,29.7,0.0,10646779.0
2018-10-10,72,66.7,64,52,48.4,45,64,52.3,40,26,26,26,29.8,29.8,29.8,0.0,5396984.0
2018-10-11,73,67.4,63,54,49.9,46,64,54.0,41,24,24,24,29.8,29.8,29.8,0.0,6381757.0
2018-10-12,70,64.7,63,57,54.3,52,77,68.1,53,17,17,17,29.8,29.8,29.8,0.0,5786504.0
2018-10-13,70,66.1,64,57,54.9,54,73,67.0,60,25,25,25,29.8,29.8,29.8,0.0,4602921.0
2018-10-14,70,65.2,63,57,54.5,54,77,68.3,56,23,23,23,29.8,29.8,29.8,0.0,
2018-10-15,66,63.7,61,57,54.9,52,82,73.2,64,14,14,14,29.8,29.8,29.8,0.0,12651359.0
2018-10-16,72,65.9,61,57,53.1,46,77,63.5,53,18,18,18,29.8,29.8,29.8,0.0,12953761.0
2018-10-17,72,66.5,61,55,51.4,45,72,58.4,49,22,22,22,29.8,29.7,29.7,0.0,7850798.0
2018-10-18,72,65.5,59,59,55.4,52,88,70.3,57,17,17,17,29.7,29.7,29.6,0.0,7907955.0
2018-10-19,72,63.3,54,59,55.8,52,94,77.4,57,16,16,16,29.7,29.7,29.7,0.0,8325605.0
2018-10-20,73,63.6,54,59,55.9,52,94,77.4,57,15,15,15,29.7,29.7,29.7,0.0,7799737.0
2018-10-21,70,64.3,59,59,54.2,52,88,70.0,53,20,20,20,29.7,29.7,29.7,0.0,
2018-10-22,68,63.8,61,55,53.6,50,82,69.7,63,22,22,22,29.7,29.7,29.7,0.0,6865595.0
2018-10-23,66,63.8,63,59,56.1,54,83,76.6,68,16,16,16,29.7,29.6,29.6,0.0,10638766.0
2018-10-24,70,63.5,55,55,53.9,52,88,71.3,60,21,21,21,29.6,29.4,29.4,0.0,11819900.0
2018-10-25,63,58.0,45,55,36.6,28,94,48.2,29,24,24,24,29.8,29.6,29.4,0.0,7935678.0
2018-10-26,72,56.7,39,48,39.0,32,81,54.2,31,9,9,9,29.8,29.8,29.7,0.0,8578709.0
2018-10-27,75,63.2,52,57,51.0,45,88,66.3,41,12,12,12,29.8,29.8,29.8,0.0,6544197.0
2018-10-28,73,65.8,59,59,56.1,54,88,72.3,57,17,17,17,29.9,29.9,29.8,0.0,
2018-10-29,73,63.8,54,59,55.2,50,88,74.5,53,12,12,12,29.9,29.8,29.8,0.0,7539948.0
2018-10-30,72,64.4,54,63,57.8,52,94,79.6,64,13,13,13,29.9,29.8,29.8,0.0,6992043.0
2018-10-31,77,67.0,61,64,61.1,59,94,80.9,61,9,9,9,29.9,29.9,29.8,0.0,7307677.0
2018-11-01,77,66.1,57,63,60.0,55,100,82.2,53,17,17,17,30.0,29.9,29.9,0.0,6214457.0
2018-11-02,75,64.0,55,59,55.4,52,100,75.7,44,20,20,20,29.9,29.9,29.8,0.0,
2018-11-03,70,63.3,54,55,52.3,48,82,67.8,56,24,24,24,29.8,29.8,29.8,0.0,
2018-11-04,68,62.0,52,52,48.9,45,77,62.9,52,28,28,28,29.8,29.8,29.8,0.0,
2018-11-05,68,59.4,48,55,50.1,43,87,71.9,60,22,22,22,29.8,29.8,29.8,0.0,6217583.0
2018-11-06,66,60.9,57,52,49.8,48,77,67.0,52,24,24,24,29.8,29.8,29.7,0.0,8310686.0
2018-11-07,68,62.0,55,54,50.9,48,77,67.2,56,22,22,22,29.8,29.8,29.8,0.0,8960058.0
2018-11-08,66,57.0,48,54,49.5,45,94,77.0,52,10,10,10,29.8,29.8,29.8,0.0,6050186.0
2018-11-09,66,59.0,54,54,48.8,45,82,68.9,56,24,24,24,29.8,29.8,29.7,0.0,6534270.0
2018-11-10,66,58.5,52,52,47.5,45,88,68.0,52,20,20,20,29.8,29.8,29.7,0.0,7432232.0
2018-11-11,66,55.2,45,50,46.4,41,93,73.5,56,18,18,18,29.9,29.8,29.8,0.0,8545646.0
2018-11-12,66,58.1,48,50,46.7,43,82,66.3,52,21,21,21,30.0,30.0,29.9,0.0,10608113.0
2018-11-13,63,59.5,57,46,44.7,41,67,58.2,45,32,32,32,30.0,29.9,29.9,0.0,
2018-11-14,61,56.7,54,46,45.0,43,72,64.7,59,26,26,26,30.0,29.9,29.8,0.0,11826223.0
2018-11-15,63,56.5,52,48,44.2,41,77,63.3,45,21,21,21,29.8,29.8,29.8,0.0,5992873.0
2018-11-16,55,54.0,50,41,38.5,36,71,56.5,51,22,22,22,29.9,29.9,29.8,0.0,8698781.0
2018-11-17,55,53.1,48,48,44.5,39,87,73.2,54,18,18,18,29.8,29.8,29.8,0.0,10993292.0
2018-11-18,57,54.5,52,54,49.5,46,88,83.9,77,17,17,17,29.8,29.6,29.5,0.0,8145696.0
2018-11-19,68,60.7,54,59,54.9,52,94,81.9,60,9,9,9,29.7,29.6,29.4,0.0,8587048.0
2018-11-20,68,59.6,54,61,56.5,52,100,89.6,73,9,9,9,29.8,29.7,29.7,0.0,8232342.0
2018-11-21,72,63.6,55,57,52.9,46,94,70.0,46,16,16,16,29.7,29.6,29.5,0.0,8297363.0
2018-11-22,66,58.3,50,52,48.6,45,82,70.7,49,17,17,17,29.8,29.7,29.6,0.0,8715666.0
2018-11-23,59,55.0,52,50,46.1,41,82,72.5,63,17,17,17,29.9,29.9,29.8,0.0,8908800.0
2018-11-24,59,52.1,45,45,42.4,41,87,69.6,59,17,17,17,29.9,29.9,29.9,0.0,13013103.0
2018-11-25,63,53.0,41,57,47.3,39,94,82.1,67,16,16,16,29.9,29.8,29.6,0.0,
2018-11-26,68,64.4,61,59,56.3,48,88,75.6,52,24,24,24,29.6,29.5,29.4,0.0,
2018-11-27,70,65.0,61,59,57.7,55,88,77.7,64,25,25,25,29.5,29.4,29.4,0.0,7059862.0
2018-11-28,66,59.9,54,57,48.6,43,88,67.3,45,14,14,14,29.5,29.4,29.4,0.0,7461722.0
2018-11-29,55,48.7,46,50,42.2,37,88,78.2,71,31,31,31,29.8,29.7,29.5,0.0,7409432.0
2018-11-30,50,46.2,45,41,37.7,36,81,72.7,62,30,30,30,29.8,29.8,29.7,0.0,8345667.0
2018-12-01,54,47.7,39,41,36.6,32,81,66.2,47,9,9,9,29.8,29.8,29.8,0.0,8138764.0
2018-12-02,54,50.3,46,41,39.5,37,81,67.2,54,15,15,15,29.8,29.8,29.8,0.0,7222204.0
2018-12-03,59,48.5,37,45,38.9,32,87,70.0,51,14,14,14,29.8,29.7,29.6,0.0,8008862.0
2018-12-04,59,48.6,37,45,39.5,34,93,72.3,51,12,12,12,29.7,29.6,29.5,0.0,8040728.0
2018-12-05,61,54.2,50,48,42.1,39,77,63.9,55,17,17,17,29.7,29.6,29.6,0.0,6982642.0
2018-12-06,52,48.2,46,45,39.1,36,81,70.7,62,20,20,20,29.8,29.8,29.7,0.0,11378716.0
2018-12-07,52,45.8,36,37,35.4,32,87,67.3,54,18,18,18,29.9,29.9,29.8,0.0,7201285.0
2018-12-08,59,44.9,28,43,35.9,27,100,73.1,48,14,14,14,29.8,29.7,29.6,0.0,
2018-12-09,64,56.4,46,46,43.5,37,87,63.7,40,16,16,16,29.6,29.5,29.5,0.0,
2018-12-10,63,55.5,48,48,40.6,32,77,57.8,36,18,18,18,29.5,29.4,29.3,0.0,
2018-12-11,52,46.7,39,41,36.3,32,93,68.2,47,9,9,9,29.7,29.6,29.5,0.0,
2018-12-12,54,44.9,39,39,32.1,28,93,62.9,41,8,8,8,29.8,29.8,29.7,0.0,646.0
2018-12-13,50,43.8,34,45,39.7,32,93,84.9,71,16,16,16,29.8,29.8,29.7,0.0,9847355.0
2018-12-14,59,51.7,43,52,47.7,41,100,85.8,72,7,7,7,29.8,29.7,29.7,0.0,12055170.0
2018-12-15,66,57.1,50,54,49.4,46,94,76.7,52,18,18,18,29.7,29.7,29.6,0.0,9031.0
2018-12-16,61,53.9,46,52,47.9,45,100,80.5,72,12,12,12,29.6,29.5,29.5,0.0,298.0
2018-12-17,57,48.2,41,46,42.5,39,100,81.5,55,7,7,7,29.7,29.6,29.6,0.0,10736677.0
2018-12-18,54,49.8,46,48,43.3,39,94,78.7,66,18,18,18,29.7,29.6,29.6,0.0,10391631.0
2018-12-19,48,45.9,45,41,39.3,37,81,77.7,66,17,17,17,30.0,29.8,29.7,0.0,8932983.0
2018-12-20,52,46.7,37,41,38.9,36,93,74.6,66,13,13,13,30.0,30.0,29.9,0.0,13149451.0
2018-12-21,57,45.7,36,43,39.1,32,93,79.3,55,5,5,5,30.1,30.0,30.0,0.0,8351948.0
2018-12-22,61,50.0,37,46,42.2,36,100,76.3,52,13,13,13,30.0,29.9,29.8,0.0,
2018-12-23,63,53.2,41,45,41.9,37,87,66.2,48,9,9,9,29.9,29.8,29.8,0.0,
2018-12-24,63,51.5,37,50,43.4,34,93,75.5,55,16,16,16,29.9,29.8,29.6,0.0,11.0
2018-12-25,59,48.9,43,50,41.4,36,88,75.5,66,20,20,20,29.8,29.7,29.6,0.0,
2018-12-26,46,42.4,39,36,31.3,25,81,65.5,49,22,22,22,29.9,29.9,29.8,0.0,
2018-12-27,50,44.9,37,36,30.0,27,71,56.4,43,16,16,16,29.9,29.9,29.8,0.0,7481308.0
2018-12-28,52,46.0,39,37,35.8,34,81,66.9,54,9,9,9,29.9,29.9,29.8,0.0,7555095.0
2018-12-29,59,45.6,32,39,34.1,28,93,67.6,39,17,17,17,29.8,29.8,29.8,0.0,
2018-12-30,52,49.3,46,39,36.3,32,76,61.6,47,10,10,10,29.9,29.8,29.8,0.0,30702.0
2018-12-31,50,46.5,41,43,39.8,37,87,77.8,66,21,21,21,29.8,29.7,29.6,0.0,9771328.0
2019-01-01,48,45.9,45,43,39.6,37,93,78.4,71,29,29,29,29.7,29.6,29.6,0.0,
2019-01-02,48,44.5,32,37,34.3,30,93,67.2,57,21,21,21,29.6,29.6,29.5,0.0,8738710.0
2019-01-03,45,40.7,30,41,34.0,27,93,78.6,61,15,15,15,29.5,29.4,29.3,0.0,8605087.0
2019-01-04,46,40.8,32,37,33.4,28,93,75.5,65,13,13,13,29.7,29.7,29.5,0.0,13327830.0
2019-01-05,45,37.9,32,36,28.7,25,93,70.8,46,13,13,13,29.6,29.6,29.6,0.0,13013221.0
